OverallQual;OverallCond;RoofMatl;roofDummy;MasVnrArea;ExterQual;extDummy;BsmtExposure;BsmtFinSF1;stFlrSF;ndFlrSF;KitchenQual;SalePrice;LotArea;Condition2;Neighborhood
6;6;CompShg;0;0;TA;1;Av;819;1003;0;TA;142500;7937;Norm;Mitchel
5;5;CompShg;0;0;TA;1;No;420;910;648;TA;152000;13710;Norm;IDOTRR
7;5;CompShg;0;1600;Gd;0;No;649;975;975;Gd;239000;7399;Norm;Somerst
6;6;CompShg;0;365;Gd;0;No;384;1041;702;TA;175000;11700;Norm;NWAmes
6;8;CompShg;0;0;TA;1;No;0;1152;0;Gd;158500;14000;Norm;Crawfor
5;5;CompShg;0;56;TA;1;Mn;841;1336;0;TA;157000;15750;Norm;Crawfor
8;5;CompShg;0;0;Gd;0;No;281;1210;1242;Gd;267000;16226;Norm;CollgCr
7;5;CompShg;0;150;Gd;0;No;0;1541;0;Gd;205000;13704;Norm;CollgCr
5;7;CompShg;0;0;TA;1;No;894;894;0;TA;149900;9800;Norm;CollgCr
7;9;CompShg;0;0;TA;1;No;0;1675;1818;Gd;295000;18386;Norm;OldTown
8;5;CompShg;0;246;Gd;0;No;1464;2000;0;Gd;305900;10386;Norm;CollgCr
7;5;CompShg;0;246;Gd;0;No;700;1122;1121;Gd;225000;13474;Norm;SawyerW
6;7;CompShg;0;0;TA;1;No;0;1035;371;Fa;89500;7920;Norm;IDOTRR
4;5;CompShg;0;0;TA;1;No;262;861;0;TA;82500;12342;Norm;Edwards
9;5;CompShg;0;0;Gd;0;Gd;1274;1944;0;Ex;360000;12378;Norm;NridgHt
6;5;CompShg;0;112;TA;1;No;518;697;804;Gd;165600;7685;Norm;Gilbert
6;6;CompShg;0;0;TA;1;No;680;972;0;TA;132000;8000;Norm;NAmes
5;7;CompShg;0;0;TA;1;Mn;507;793;325;TA;119900;7800;Norm;OldTown
7;5;CompShg;0;0;TA;1;Gd;1236;2036;0;TA;375000;215245;Norm;Timber
7;7;CompShg;0;0;TA;1;No;16;832;809;Ex;178000;9600;Norm;OldTown
7;5;CompShg;0;0;Gd;0;No;425;716;716;Gd;188500;7795;Norm;Gilbert
7;7;CompShg;0;278;Gd;0;No;692;1153;1200;Ex;260000;13005;Norm;NWAmes
8;5;CompShg;0;0;Gd;0;Av;0;1088;871;Gd;270000;9000;Norm;Somerst
7;5;CompShg;0;256;Gd;0;Gd;987;1372;1274;Gd;260000;9900;Norm;NoRidge
7;5;CompShg;0;225;TA;1;Av;1036;1472;0;TA;187500;14115;Norm;NWAmes
9;5;CompShg;0;370;TA;1;Av;0;1249;1347;Gd;342643;16259;Norm;NridgHt
8;5;CompShg;0;388;Gd;0;Av;970;1136;1332;Gd;354000;12099;Norm;NridgHt
7;5;CompShg;0;172;Gd;0;Gd;28;1553;1177;Gd;301000;10380;Norm;SawyerW
3;8;CompShg;0;0;TA;1;No;256;1163;0;TA;126175;5820;Norm;OldTown
7;7;WdShake;3;300;Gd;0;No;0;1898;1080;Gd;242000;11275;Norm;NAmes
5;6;CompShg;0;0;TA;1;Av;116;803;0;TA;87000;5000;Norm;IDOTRR
8;5;CompShg;0;0;Gd;0;Gd;1619;1719;0;Gd;324000;10846;Norm;Veenker
6;5;CompShg;0;175;TA;1;No;565;1383;0;TA;145250;11600;Norm;NAmes
6;6;CompShg;0;0;TA;1;No;0;1445;689;Gd;214500;11888;Norm;BrkSide
5;5;CompShg;0;0;TA;1;Mn;0;596;596;TA;78000;6402;Norm;IDOTRR
5;4;CompShg;0;84;TA;1;No;40;1728;0;TA;119000;10624;Norm;NAmes
5;6;CompShg;0;0;TA;1;No;846;1056;0;TA;139000;8176;Norm;NAmes
8;5;CompShg;0;296;Gd;0;No;1124;1629;0;Gd;284000;10655;Norm;NridgHt
7;5;CompShg;0;146;Gd;0;Av;720;1358;0;Gd;207000;8198;Norm;NridgHt
6;5;CompShg;0;0;TA;1;Gd;828;943;695;TA;192000;9042;Norm;Gilbert
5;6;CompShg;0;0;TA;1;Gd;1249;1619;167;TA;228950;164660;Norm;Timber
9;5;CompShg;0;200;Gd;0;Gd;1249;1922;0;Gd;377426;14157;Norm;StoneBr
7;5;CompShg;0;113;Gd;0;Av;810;1536;0;Gd;214000;9135;Norm;CollgCr
7;7;CompShg;0;0;Gd;0;Mn;213;1621;0;Gd;202500;14145;Norm;NWAmes
6;7;CompShg;0;176;TA;1;No;585;1215;0;TA;155000;12400;Norm;NAmes
8;5;CompShg;0;0;Gd;0;No;0;993;915;Gd;202900;14191;Norm;Timber
4;4;CompShg;0;0;Fa;3;No;0;841;0;TA;82000;8400;Norm;SawyerW
3;4;CompShg;0;340;TA;1;NA;0;1040;0;TA;87500;8544;Norm;NAmes
9;5;CompShg;0;616;Ex;2;No;28;1684;0;Ex;266000;8849;Norm;NridgHt
5;3;CompShg;0;0;TA;1;No;129;536;576;TA;85000;2592;Norm;MeadowV
6;5;CompShg;0;0;TA;1;No;0;972;605;Fa;140200;6435;Norm;BrkSide
6;8;CompShg;0;0;TA;1;Mn;498;958;0;TA;151500;12772;Norm;NAmes
6;5;CompShg;0;30;TA;1;No;1270;1478;0;TA;157500;17600;Norm;NAmes
7;5;CompShg;0;106;Gd;0;No;573;764;862;Gd;154000;2448;Norm;NridgHt
9;5;CompShg;0;870;Ex;2;No;1410;1848;880;Ex;437154;20431;Norm;NridgHt
9;5;CompShg;0;362;Ex;2;No;0;1869;0;Ex;318061;7820;Norm;NridgHt
7;5;CompShg;0;0;TA;1;Gd;1082;1453;0;Gd;190000;5271;Norm;ClearCr
5;6;CompShg;0;0;TA;1;Mn;236;616;495;TA;95000;9084;Norm;Edwards
6;8;CompShg;0;0;TA;1;No;0;720;0;TA;105900;8520;Norm;OldTown
6;5;CompShg;0;0;TA;1;No;388;1192;403;TA;140000;8400;Norm;SWISU
6;5;CompShg;0;0;Gd;0;No;334;1200;0;Gd;177500;11249;Norm;CollgCr
6;6;CompShg;0;106;TA;1;No;560;1167;0;Gd;173000;9248;Norm;Gilbert
5;5;CompShg;0;0;TA;1;No;874;1142;0;TA;134000;4224;Norm;MeadowV
5;4;CompShg;0;120;TA;1;Av;300;1352;0;Gd;130000;6930;Norm;ClearCr
8;5;CompShg;0;530;Gd;0;Av;956;1086;838;Gd;280000;12011;Norm;NoRidge
6;6;CompShg;0;0;TA;1;Av;773;912;0;TA;156000;7540;Norm;Mitchel
5;5;CompShg;0;0;TA;1;No;399;988;517;TA;145000;9144;Norm;BrkSide
7;5;CompShg;0;500;Gd;0;NA;0;495;1427;Gd;198500;7301;Norm;Edwards
6;8;CompShg;0;510;TA;1;No;162;483;504;Gd;118000;1680;Norm;BrDale
6;5;CompShg;0;120;TA;1;Mn;712;790;784;TA;190000;18800;Norm;NWAmes
5;7;CompShg;0;0;TA;1;No;456;672;672;TA;147000;10690;Norm;IDOTRR
6;5;CompShg;0;247;TA;1;No;609;1394;0;TA;159000;9500;Norm;NAmes
6;5;Tar&Grv;7;305;TA;1;Gd;371;1431;0;TA;165000;9150;Norm;NAmes
5;6;CompShg;0;200;TA;1;No;540;1268;0;TA;132000;7800;Norm;NAmes
5;7;CompShg;0;0;TA;1;No;72;1287;0;Gd;162000;9830;Norm;NAmes
6;5;CompShg;0;0;TA;1;No;0;953;711;TA;172400;8121;Norm;Gilbert
4;4;CompShg;0;0;TA;1;NA;0;1120;468;TA;134432;17120;Norm;ClearCr
6;5;CompShg;0;0;TA;1;No;623;752;0;TA;125000;7175;Norm;SawyerW
5;6;CompShg;0;0;TA;1;No;428;1319;0;TA;123000;10634;Norm;NAmes
7;5;CompShg;0;0;Gd;0;No;0;847;1081;Gd;219500;8200;Norm;CollgCr
1;1;CompShg;0;0;Fa;3;Gd;350;904;0;Fa;61000;10020;Norm;Edwards
5;5;CompShg;0;0;Gd;0;Av;298;914;0;TA;148000;8846;Norm;CollgCr
8;5;CompShg;0;0;Gd;0;No;0;1580;886;Gd;340000;11143;Norm;Somerst
9;2;CompShg;0;350;Gd;0;Av;1445;1856;0;Ex;394432;11394;Norm;StoneBr
6;5;CompShg;0;16;TA;1;No;0;1007;793;TA;179000;8123;Norm;Gilbert
5;6;CompShg;0;0;TA;1;No;218;1026;665;Gd;127000;5000;Norm;SWISU
7;5;CompShg;0;0;Gd;0;No;0;1301;0;Gd;187750;7200;Norm;Somerst
7;5;CompShg;0;0;Gd;0;Av;0;939;858;Gd;213500;9245;Norm;CollgCr
6;3;CompShg;0;0;TA;1;No;0;784;0;TA;76000;9000;Norm;SawyerW
6;5;CompShg;0;0;Gd;0;Av;985;1079;874;Gd;240000;53107;Norm;ClearCr
8;5;CompShg;0;16;Gd;0;No;24;1269;0;Gd;192000;3182;Norm;Blmngtn
5;3;CompShg;0;0;TA;1;No;0;658;526;TA;81000;8410;Norm;Edwards
6;6;CompShg;0;255;TA;1;Av;631;1125;0;TA;125000;7200;Norm;Edwards
7;5;CompShg;0;125;Gd;0;No;0;1479;0;Gd;191000;9382;Norm;CollgCr
10;5;CompShg;0;272;Ex;2;Av;1280;1742;590;Ex;426000;12474;Norm;NridgHt
5;8;CompShg;0;0;TA;1;No;241;961;406;TA;119000;8405;Norm;Edwards
6;5;CompShg;0;0;TA;1;No;690;804;1157;Gd;215000;12209;Norm;Mitchel
5;7;CompShg;0;0;TA;1;NA;0;882;0;TA;106500;8339;Norm;NAmes
4;5;CompShg;0;0;TA;1;No;266;788;0;TA;100000;7446;Norm;BrkSide
5;6;CompShg;0;0;TA;1;No;0;735;299;TA;109000;10134;Norm;OldTown
5;6;CompShg;0;0;TA;1;Av;739;1144;0;TA;129000;9571;Norm;Edwards
5;5;CompShg;0;0;TA;1;Av;777;894;0;TA;123000;7200;Norm;CollgCr
5;5;CompShg;0;288;TA;1;No;540;876;936;TA;169500;7590;Norm;NAmes
5;2;CompShg;0;0;TA;1;No;0;1077;0;TA;67000;8967;Norm;IDOTRR
7;5;CompShg;0;100;Gd;0;No;812;1112;438;Gd;241000;8125;Norm;Somerst
8;5;CompShg;0;0;Gd;0;No;786;1288;0;Ex;245500;14963;Norm;Veenker
7;5;CompShg;0;0;Gd;0;Av;24;1310;0;Gd;164990;8767;Norm;CollgCr
5;8;CompShg;0;0;TA;1;No;0;672;0;TA;108000;10200;Norm;Sawyer
8;5;CompShg;0;650;Gd;0;No;0;1165;1098;Gd;258000;12090;Norm;NoRidge
6;5;CompShg;0;0;TA;1;No;0;806;766;TA;168000;10364;Norm;Gilbert
4;4;CompShg;0;0;TA;1;No;1116;1620;0;TA;150000;9991;Norm;Sawyer
6;5;CompShg;0;0;TA;1;No;0;1166;0;TA;115000;10480;Norm;SWISU
6;7;CompShg;0;0;TA;1;No;0;840;840;TA;177000;15576;Norm;Crawfor
7;5;CompShg;0;350;Gd;0;No;0;1071;1101;Gd;280000;14154;Norm;NridgHt
8;5;CompShg;0;100;Gd;0;No;789;1050;1028;Ex;339750;10800;Norm;Somerst
5;3;CompShg;0;0;TA;1;No;0;1276;0;TA;60000;9571;Norm;Edwards
5;5;CompShg;0;0;TA;1;Mn;1056;1056;0;TA;145000;34650;Norm;Gilbert
7;5;CompShg;0;432;Ex;2;Av;578;1478;0;Gd;222000;4403;Norm;Somerst
5;6;CompShg;0;0;TA;1;No;0;1028;0;TA;115000;8960;Norm;OldTown
7;5;CompShg;0;0;Gd;0;No;50;1080;1017;Gd;228000;11228;Norm;SawyerW
7;5;CompShg;0;0;Gd;0;Av;24;1340;0;Gd;181134;8899;Norm;Gilbert
6;7;CompShg;0;203;TA;1;No;209;672;728;TA;149500;7844;Norm;Sawyer
6;6;CompShg;0;0;TA;1;No;1128;1370;1254;TA;239000;22420;Norm;Crawfor
5;6;CompShg;0;0;TA;1;No;312;756;378;TA;126000;8160;Norm;Edwards
5;6;CompShg;0;0;TA;1;No;775;1056;0;TA;142000;8450;Norm;NAmes
7;5;CompShg;0;200;TA;1;Gd;1309;1344;0;TA;206300;7060;Norm;Mitchel
6;7;CompShg;0;126;Gd;0;No;1246;1602;0;Gd;215000;16635;Norm;NWAmes
5;5;CompShg;0;0;TA;1;No;0;988;0;TA;113000;21750;Norm;Mitchel
8;5;CompShg;0;473;Gd;0;No;986;1470;1160;Gd;315000;9200;Norm;NoRidge
6;5;CompShg;0;74;TA;1;No;616;1196;0;TA;139000;9000;Norm;NAmes
7;8;CompShg;0;0;TA;1;No;0;707;682;TA;135000;3378;Norm;OldTown
7;5;CompShg;0;145;Gd;0;Gd;1518;1644;0;Gd;275000;12800;Norm;SawyerW
4;6;CompShg;0;0;TA;1;No;288;907;0;TA;109008;8593;Norm;NAmes
7;5;CompShg;0;108;Gd;0;No;664;1208;0;Gd;195400;6762;Norm;CollgCr
6;5;CompShg;0;0;TA;1;Mn;1005;1412;0;Gd;175000;11457;Norm;Timber
6;5;CompShg;0;232;TA;1;No;387;483;504;TA;85400;1680;Norm;BrDale
6;7;CompShg;0;0;TA;1;No;0;1088;110;TA;79900;5586;Norm;OldTown
5;5;CompShg;0;376;TA;1;No;471;765;600;TA;122500;1920;Norm;BrDale
6;5;CompShg;0;0;TA;1;No;0;926;678;TA;181000;10839;Norm;Gilbert
4;7;CompShg;0;0;TA;1;Av;495;630;0;TA;81000;1890;Norm;MeadowV
7;6;CompShg;0;0;Gd;0;Av;385;827;834;Gd;212000;10667;Norm;CollgCr
6;8;CompShg;0;0;TA;1;No;0;734;384;TA;116000;4400;Norm;OldTown
6;7;CompShg;0;0;Gd;0;No;0;904;0;TA;119000;6000;Norm;BrkSide
5;6;CompShg;0;0;TA;1;No;365;694;0;Gd;90350;4280;Norm;Crawfor
6;8;CompShg;0;0;TA;1;Mn;0;684;512;Gd;110000;12354;Norm;Edwards
10;5;CompShg;0;200;Ex;2;Gd;1767;2402;0;Ex;555000;15431;Norm;NridgHt
4;4;CompShg;0;270;TA;1;No;133;1440;0;Fa;118000;12108;Norm;Edwards
5;7;CompShg;0;0;TA;1;No;0;1128;445;TA;162900;6240;Norm;BrkSide
7;5;CompShg;0;72;Gd;0;Av;0;1258;0;Gd;172500;3922;Norm;Blmngtn
7;5;CompShg;0;0;Gd;0;No;642;933;975;Gd;210000;8750;Norm;CollgCr
6;5;CompShg;0;0;TA;1;No;0;1689;0;TA;127500;9855;Norm;Edwards
6;6;CompShg;0;0;Gd;0;No;247;1888;0;Gd;190000;16492;Norm;NAmes
7;5;CompShg;0;0;Gd;0;No;0;956;930;Gd;199900;11214;Norm;Gilbert
6;6;CompShg;0;0;TA;1;No;0;780;596;TA;119500;8600;Norm;IDOTRR
3;7;CompShg;0;0;TA;1;No;331;679;504;TA;120000;6000;Norm;OldTown
6;8;CompShg;0;0;TA;1;No;0;813;0;Gd;110000;5684;Norm;OldTown
7;5;WdShngl;1;0;TA;1;Gd;655;1533;0;Gd;280000;70761;Norm;ClearCr
6;5;CompShg;0;42;Gd;0;No;742;888;868;TA;204000;9303;Norm;Timber
8;5;CompShg;0;0;Gd;0;No;0;786;804;Gd;210000;9000;Norm;Somerst
5;5;CompShg;0;0;TA;1;No;1606;1728;0;TA;188000;9297;Norm;Mitchel
7;6;CompShg;0;320;TA;1;No;916;1242;0;TA;175500;9600;Norm;NWAmes
5;5;CompShg;0;0;TA;1;No;0;624;720;TA;98000;4571;Norm;OldTown
4;6;Tar&Grv;7;0;TA;1;Gd;1116;1663;0;Gd;256000;53227;Norm;ClearCr
8;7;CompShg;0;0;TA;1;No;0;833;833;Gd;161000;5100;Norm;OldTown
5;4;CompShg;0;161;TA;1;No;185;979;224;Gd;110000;7015;Norm;BrkSide
8;5;CompShg;0;110;Gd;0;No;544;832;1103;TA;263435;8004;Norm;Somerst
7;9;CompShg;0;0;Gd;0;No;350;575;560;Gd;155000;7200;Norm;SWISU
5;5;CompShg;0;0;TA;1;No;553;864;0;TA;62383;8281;Norm;Sawyer
6;7;CompShg;0;0;TA;1;No;326;849;811;TA;188700;11988;Norm;Crawfor
5;5;CompShg;0;136;TA;1;No;616;1040;0;TA;124000;8430;Norm;CollgCr
7;5;CompShg;0;18;Gd;0;No;0;1414;0;Gd;178740;3072;Norm;Blmngtn
7;5;Tar&Grv;7;0;TA;1;Gd;778;1277;0;TA;167000;10628;Norm;NAmes
5;7;CompShg;0;224;TA;1;No;386;888;756;Gd;146500;9480;Norm;NAmes
8;5;CompShg;0;248;Gd;0;No;0;1634;0;Gd;250000;11428;Norm;NridgHt
6;5;CompShg;0;120;Gd;0;No;426;832;878;Gd;187000;9291;Norm;SawyerW
8;5;CompShg;0;0;Gd;0;Av;368;1502;0;Gd;212000;6820;Norm;StoneBr
7;6;WdShake;3;0;TA;1;No;0;1161;808;TA;190000;11952;Norm;NWAmes
6;5;CompShg;0;80;TA;1;Gd;459;1072;0;TA;148000;3675;Norm;Edwards
8;5;CompShg;0;304;Gd;0;Gd;1350;1976;0;Gd;440000;14977;Norm;NridgHt
8;5;CompShg;0;0;Gd;0;Av;1196;1652;0;Ex;251000;5330;Norm;StoneBr
5;6;CompShg;0;0;TA;1;No;630;970;0;TA;132500;8480;Norm;Sawyer
6;5;CompShg;0;215;TA;1;Gd;994;1493;0;Gd;208900;13125;Norm;CollgCr
9;5;CompShg;0;772;Ex;2;Av;0;2069;574;Ex;380000;13693;Norm;NridgHt
8;5;CompShg;0;336;Gd;0;Gd;1288;1718;0;Gd;297000;10637;Norm;CollgCr
4;7;CompShg;0;435;TA;1;No;168;1131;0;TA;89471;5925;Norm;OldTown
9;5;CompShg;0;378;Gd;0;Gd;1261;1850;0;Gd;326000;16033;Norm;NridgHt
9;5;CompShg;0;562;Gd;0;Gd;1567;1792;0;Ex;374000;11846;Norm;NridgHt
7;8;CompShg;0;0;Gd;0;No;299;916;910;Ex;155000;2500;Norm;OldTown
6;5;CompShg;0;116;TA;1;No;897;1216;0;TA;164000;4500;Norm;Mitchel
5;7;CompShg;0;0;TA;1;No;588;999;0;Gd;132500;7758;Norm;Sawyer
5;7;CompShg;0;0;Gd;0;No;607;1113;0;Gd;147000;9600;Norm;NAmes
5;7;CompShg;0;168;TA;1;No;836;1073;0;TA;156000;10289;Norm;NAmes
5;6;CompShg;0;0;TA;1;Av;998;1484;0;TA;175000;12243;Norm;NWAmes
5;4;CompShg;0;0;TA;1;No;664;1766;648;TA;160000;10800;Norm;OldTown
4;8;CompShg;0;0;TA;1;Av;515;630;0;Gd;86000;1526;Norm;MeadowV
5;6;CompShg;0;0;TA;1;Mn;0;616;688;TA;115000;2665;Norm;MeadowV
6;7;CompShg;0;0;TA;1;No;403;958;620;Fa;133000;9490;Norm;NAmes
6;5;CompShg;0;0;Gd;0;No;0;728;728;TA;172785;15578;Norm;Gilbert
5;6;CompShg;0;0;TA;1;No;374;1269;0;TA;155000;7931;Norm;NAmes
5;8;CompShg;0;0;TA;1;No;0;886;0;TA;91300;5784;Norm;OldTown
4;5;CompShg;0;0;TA;1;No;495;720;0;TA;34900;7879;Norm;IDOTRR
8;5;CompShg;0;0;Gd;0;No;1231;3228;0;Gd;430000;12692;Norm;NoRidge
7;6;CompShg;0;0;TA;1;No;329;1133;687;TA;184000;9120;Norm;BrkSide
5;7;CompShg;0;89;TA;1;No;450;899;0;Gd;130000;7800;Norm;Sawyer
5;7;CompShg;0;0;TA;1;No;111;912;0;TA;120000;7535;Norm;NAmes
6;5;CompShg;0;285;TA;1;No;356;672;546;TA;113000;1890;Norm;BrDale
7;5;CompShg;0;0;Gd;0;No;400;866;902;Gd;226700;9803;Norm;Somerst
5;7;CompShg;0;0;TA;1;No;698;1214;0;TA;140000;9170;Norm;Edwards
7;8;CompShg;0;0;TA;1;No;1247;1801;0;TA;289000;15602;Norm;Crawfor
6;5;CompShg;0;0;TA;1;No;257;855;467;TA;147000;2308;Norm;NPkVill
5;5;CompShg;0;360;TA;1;No;0;960;1000;TA;124500;7596;Norm;OldTown
8;5;CompShg;0;125;Gd;0;No;380;1065;846;Gd;215000;9554;Norm;SawyerW
6;5;CompShg;0;0;Gd;0;No;27;1218;0;Gd;208300;7862;Norm;Somerst
7;9;CompShg;0;0;TA;1;No;141;689;689;Gd;161000;9600;Norm;OldTown
5;6;CompShg;0;132;TA;1;No;991;1041;0;TA;124500;9600;Norm;NAmes
5;7;CompShg;0;70;Gd;0;No;650;1363;0;TA;164900;14559;Norm;NAmes
7;5;CompShg;0;94;Gd;0;No;0;1368;0;Gd;202665;6792;Norm;NridgHt
5;5;CompShg;0;0;TA;1;No;521;864;0;TA;129900;9100;Norm;NAmes
6;5;CompShg;0;0;TA;1;No;336;1080;0;TA;134000;9187;Norm;Mitchel
5;5;CompShg;0;0;TA;1;No;0;789;0;TA;96500;10594;Norm;Crawfor
10;5;CompShg;0;305;Ex;2;No;1436;2020;0;Ex;402861;12220;Norm;NridgHt
6;6;CompShg;0;333;TA;1;No;0;1378;741;TA;158000;10448;Norm;NWAmes
7;5;CompShg;0;921;Gd;0;No;0;1277;1067;Gd;265000;10208;Norm;NoRidge
6;5;CompShg;0;0;TA;1;Mn;706;882;914;TA;211000;9531;Norm;CollgCr
7;9;CompShg;0;0;Gd;0;No;0;1276;804;Gd;234000;10918;Norm;Crawfor
4;7;CompShg;0;0;TA;1;NA;0;694;600;TA;106250;10800;Norm;OldTown
6;6;CompShg;0;0;TA;1;No;777;1244;0;TA;150000;11988;Norm;NAmes
6;7;CompShg;0;0;TA;1;No;399;1004;660;TA;159000;5000;Norm;BrkSide
10;5;CompShg;0;762;Ex;2;Gd;2260;3138;1538;Ex;184750;40094;PosN;Edwards
7;5;CompShg;0;594;Gd;0;No;719;1383;1015;Gd;315750;11787;Norm;NoRidge
7;5;CompShg;0;0;Gd;0;No;0;1266;0;Gd;176000;7500;Norm;Somerst
5;7;CompShg;0;0;TA;1;No;377;928;0;TA;132000;13300;Norm;NAmes
9;5;CompShg;0;268;Ex;2;Av;1330;1476;1237;Ex;446261;14948;Norm;NridgHt
4;7;CompShg;0;0;TA;1;Mn;348;605;0;TA;86000;9098;Norm;Edwards
6;3;CompShg;0;NA;Gd;0;No;1219;2515;0;TA;200624;32668;Norm;Crawfor
6;5;CompShg;0;219;Gd;0;Av;783;1509;0;Gd;175000;10200;Norm;Timber
6;8;CompShg;0;0;TA;1;Mn;0;751;611;TA;128000;6155;Feedr;BrkSide
5;7;CompShg;0;0;TA;1;NA;0;827;0;TA;107500;7200;Norm;NAmes
1;3;CompShg;0;0;Fa;3;NA;0;334;0;Fa;39300;5000;Norm;BrkSide
8;5;CompShg;0;0;Gd;0;Av;0;707;707;Gd;178000;9056;Norm;Gilbert
5;7;CompShg;0;0;TA;1;Gd;969;820;527;TA;107500;7000;Norm;Edwards
7;5;CompShg;0;0;TA;1;Av;0;880;844;Gd;188000;8924;Norm;CollgCr
4;5;CompShg;0;0;TA;1;No;600;864;0;TA;111250;12735;Norm;NAmes
5;5;CompShg;0;188;TA;1;No;673;1159;0;TA;158000;11553;Norm;Sawyer
8;5;CompShg;0;479;Gd;0;Av;1358;1601;0;Gd;272000;11423;Norm;CollgCr
9;5;CompShg;0;584;Ex;2;Av;1260;1838;0;Ex;315000;14601;Norm;Timber
8;5;CompShg;0;72;Gd;0;No;0;997;1288;Gd;248000;11000;Norm;NoRidge
7;5;CompShg;0;0;Gd;0;No;144;1680;0;Gd;213250;10140;Norm;NWAmes
7;5;CompShg;0;182;TA;1;Av;584;767;0;TA;133000;4058;Norm;NAmes
7;5;CompShg;0;0;Gd;0;Av;554;664;832;Gd;179665;17104;Norm;Gilbert
7;5;CompShg;0;178;Gd;0;No;1002;1377;806;Gd;229000;13837;Norm;NWAmes
6;7;CompShg;0;0;TA;1;No;300;915;720;TA;210000;8737;Norm;BrkSide
5;7;CompShg;0;0;TA;1;Av;619;768;0;TA;129500;7244;Norm;Mitchel
5;7;CompShg;0;0;TA;1;No;180;825;0;TA;125000;8235;RRNn;OldTown
7;5;CompShg;0;0;Gd;0;No;0;912;1182;Gd;263000;9375;Norm;Somerst
6;6;CompShg;0;0;TA;1;No;559;1069;0;TA;140000;4043;Norm;NPkVill
5;6;CompShg;0;0;TA;1;No;308;928;0;TA;112500;6000;Norm;OldTown
8;5;CompShg;0;250;Gd;0;Av;0;1717;0;Gd;255500;11146;Norm;NridgHt
4;5;CompShg;0;0;TA;1;NA;0;1126;0;Gd;108000;8777;Norm;Edwards
7;5;CompShg;0;292;Gd;0;No;866;1006;1040;Gd;284000;10625;Norm;NridgHt
5;6;CompShg;0;0;TA;1;No;0;1048;0;TA;113000;6380;Norm;BrkSide
5;5;CompShg;0;0;TA;1;No;895;1092;0;TA;141000;14850;Norm;NAmes
4;6;CompShg;0;0;TA;1;No;637;897;439;TA;108000;11040;Norm;IDOTRR
7;5;CompShg;0;0;TA;1;Gd;604;729;717;TA;175000;21872;Norm;Gilbert
7;5;CompShg;0;18;Gd;0;Gd;0;1557;0;Gd;234000;3196;Norm;Blmngtn
5;6;CompShg;0;180;TA;1;No;1302;1392;0;TA;121500;11341;Norm;Sawyer
5;5;CompShg;0;0;TA;1;Av;1071;1389;0;TA;170000;10010;Norm;Mitchel
5;6;CompShg;0;0;TA;1;No;290;996;0;TA;108000;13907;Norm;Edwards
6;7;CompShg;0;0;TA;1;Mn;0;1163;511;TA;185000;21780;Norm;Edwards
7;5;CompShg;0;0;Gd;0;No;728;1166;1129;Gd;268000;13346;Norm;NoRidge
6;4;CompShg;0;0;TA;1;No;0;841;806;Fa;128000;6858;Norm;SWISU
9;5;CompShg;0;245;Gd;0;No;0;1134;1370;Ex;325000;11198;Norm;StoneBr
7;5;CompShg;0;168;Gd;0;No;2;1535;0;Gd;214000;10171;Norm;NridgHt
8;8;CompShg;0;0;Gd;0;Gd;1441;1496;636;Gd;316600;12327;Norm;SawyerW
5;5;CompShg;0;0;TA;1;Gd;943;943;0;TA;135960;7032;Norm;NAmes
5;5;CompShg;0;108;TA;1;No;231;1728;0;TA;142600;13101;Norm;NAmes
6;6;CompShg;0;207;TA;1;No;414;864;0;Gd;120000;7332;Norm;NAmes
7;5;CompShg;0;0;TA;1;Av;0;846;846;Gd;224500;13159;Norm;Timber
7;5;CompShg;0;0;TA;1;No;0;774;656;TA;170000;9967;Norm;Gilbert
5;7;CompShg;0;82;TA;1;Av;349;576;533;TA;139000;10500;Norm;NAmes
5;5;CompShg;0;0;TA;1;No;442;832;384;TA;118500;8480;Norm;NAmes
7;7;CompShg;0;0;TA;1;No;0;877;600;TA;145000;6292;Norm;SWISU
5;6;CompShg;0;97;TA;1;Av;328;1320;0;TA;164500;11777;Norm;Sawyer
7;5;CompShg;0;0;Gd;0;No;0;703;689;Gd;146000;3604;Norm;Somerst
5;5;CompShg;0;335;TA;1;No;0;1050;745;TA;131500;12150;Norm;OldTown
6;6;CompShg;0;85;TA;1;No;594;1429;0;Gd;181900;14585;Norm;NAmes
8;5;CompShg;0;306;Ex;2;No;0;2042;0;Ex;253293;12704;Norm;NridgHt
6;5;CompShg;0;104;TA;1;Av;816;816;0;TA;118500;11841;Norm;Edwards
10;9;CompShg;0;0;Ex;2;No;0;1521;1254;Gd;325000;13500;PosA;OldTown
4;7;CompShg;0;0;TA;1;No;0;989;584;Gd;133000;6120;Norm;BrkSide
8;5;CompShg;0;208;Gd;0;Gd;1460;2028;0;Gd;369900;11443;Norm;Timber
6;7;CompShg;0;0;TA;1;Mn;210;838;0;Fa;130000;10267;Norm;BrkSide
5;6;CompShg;0;0;TA;1;Av;672;860;0;TA;137000;8740;Norm;Sawyer
5;8;Tar&Grv;7;0;TA;1;Gd;1324;1473;0;Ex;143000;25095;Norm;ClearCr
5;6;CompShg;0;0;TA;1;No;0;779;0;TA;79500;9100;Feedr;BrkSide
7;5;CompShg;0;0;Gd;0;No;490;770;812;Gd;185900;8320;Norm;CollgCr
